,pageNo,word,number,pronunciation,meaning,pos,IPA [B],language,class,sentence,source
0,১,অ,১,অ,বাংলা স্বরবর্ণের প্রথম বর্ণ,,ɔ,,,,
1,,অ,২,অ,সম্বোধনসূচক অব্যয়,সম্বোঅব,ɔ,,,"অ কপাল, অ মামুন",ব্যবহারিক বাংলা অভিধান
2,,অ,২,অ,উপসর্গ,উপ,ɔ,,ব্যা. [ব্যাকরণ],,
3,,অই,১,ওই,পদ্যে ছন্দের নির্দেশক স্বরবর্ণ,,ɔ͡i̯,স. [সংস্কৃত],,,
4,,অইরান,১,ওইরান্‌,বিরান,,ɔ͡i̯ran,ফা. [ফারসি],,,
5,,অইরান,১,,জনমানবহীন,,,,,,
6,,অইরান,২,,ধংসপ্রাপ্ত,,,,,,
7,,অউপকারী,১,অ-উপোকারী,"অপকারী, ",বি,ɔ͡u̯pokari,,,,
8,,অউপকারী,১,,যে উপকার করে না,,,,,,
9,,অঋণ,১,অরিন,ঋণাভাব,বি,ɔrin,স. [সংস্কৃত],অর্থ [অর্থনৈতিক],,
10,,অঋণী,১,অরিনি,ঋণামুক্ত,বিণ,ɔrini,স. [সংস্কৃত],অর্থ [অর্থনৈতিক],,
11,,অঋণী,১,,ঋণশুন্য,,,,,,
12,,অংগুস্তানা,১,ওঙ্গুস্‌তানা,অঙ্গুলাবরণ,বি,ɔŋgust̪ana,ফা. [ফারসি],গার্হ [গার্হস্ব্যবিদ্যা],,
13,,অংগুস্তানা,১,,সুচের খোঁচা থেকে রক্ষা পেতে ব্যবহৃত আচ্ছাদন,,,,,,
14,,অংগুস্তানা,২,,চামাটি,,,,,,
15,,অংগুস্তানা,৩,,মেজরাব,,,,,,
16,,অংগুষ্ঠানা,১,ওঙ্গুশঠানা,অঙ্গুলাবরণ,বি,ɔŋguʃtʰana,ফা. [ফারসি],গার্হ [গার্হস্ব্যবিদ্যা],,
17,,অংগুষ্ঠানা,১,,সুচের খোঁচা থেকে রক্ষা পেতে ব্যবহৃত আচ্ছাদন,,,,,,
18,,অংগুষ্ঠানা,২,,চামাটি,,,,,,
19,,অংগুষ্ঠানা,৩,,মেজরাব,,,,,,
20,,অংশ,১,অঙ্‌শো,ভাগ,,ɔŋʃo,স. [সংস্কৃত],,,
21,,অংশ,১,,খণ্ড,,,,,,
22,,অংশ,২,,অঞ্চল,,,,,,
23,,অংশ,২,,স্থান,,,,,,
24,,অংশ,৩,,মালিকানা,,,,,,
25,,অংশ,৩,,স্বত্ব,,,,,,
26,,অংশ,৪,,দেবতার ঔরস,,,,,,
27,,অংশ,৪,,দেবতার বীর্য,,,,,,
28,,অংশ,৫,,অবতার,,,,,,
29,,অংশ,৬,,বিষয়,,,,,,
30,,অংশ,৬,,পক্ষ,,,,,,
31,,অংশ,৭,,প্রত্যঙ্গ,,,,,,
32,,অংশ,৮,,বৃত্ত-পরিধির ৩৬০ ভাগের ১ ভাগ,,,,,,
33,,অংশ,৯,,রাশিচিক্রের ত্রিংশ বা দ্বাদশ ভাগের এক ভাগ,,,,,,
34,,অংশক,১,অঙ্শো‌ক,জ্ঞাতি,বি,ɔŋʃok,স. [সংস্কৃত],,,
35,,অংশক,২,,দিন,,,,,,
