Word,Processed Result
পৈথান,poi̯t̪ʰan
হংকার,hɔŋkar
ক্রন্দনধ্বনি,krond̪ond̪ʰoni
ছেলে,cʰele
ব্যাসার্ধ,bæʃard̪ʰo
স্থাপয়িতা,st̪ʰapɟoɟit̪a
ব্রজদুলাল,broɟd̪ulal
গিনি,gini
ইনজেকশন,inɟekʃon
ব্যাডমিন্টন,bædmintɔn
নিগমিত,nigmit̪o
কুতুপ,kut̪up
পেটিকা,petika
বহুমার্গ,bohumargo
অযোধ্য,ɔɟod̪d̪ʰo
পঙ্গু,poŋgu
সুনাভ,ʃunabʰ
তালিমী,t̪alimi
অরাজী,ɔraɟi
ভিরমি,bʰirmi
দীপ্তি,d̪ipt̪i
পহিলা,pohila
গাবগুবাগুব,gabgubagub
হঠকারিতা,hɔtʰkarit̪a
দর্মা,d̪ɔrma
তুল্যরূপ,t̪ullorup
তজবীয,t̪oɟobiɟ
আম৪,amoi̯
বাচবিচার,bacbicar
ধুম্বুল,d̪ʰumbul
অপ্রতর্ক্য,ɔprot̪ɔrko
মাট২,mator
বিচ্ছেদ,biccʰed̪
যন্ত্রালয়,ɟɔnt̪ralɔʲ
শিপসরকারি,ʃipʃɔrkari
আত্মসম্ভ্রম,at̪t̪oʃɔmbʰrom
এলেকা,eleka
অগ্নিকম্প,ɔgnikɔmpo
যাচ্য,ɟacco
ঢসা,dʰɔʃa
ডেরা-ডাণ্ডাফেলা,dera-dandapʰela
ভোঁ,bʰo
খণ্ডচাষ,kʰɔndocaʃ
বিশিষ্টতা,biʃiʃtot̪a
কোনা-কুনি,kona-kuni
বিষানো,biʃano
সনাতনী,ʃɔnat̪oni
একেশ্বর,ækeʃʃɔr
আরসুলা,arʃula
ডুয়েল,duʲel
নাখোদা,nakʰod̪a
মসীময়,moʃimɔʲ
সুমরি,ʃumori
ভৃতি,bʰrit̪i
কৃতসঙ্কল্প,krit̪oʃɔŋkɔlpo
লহূ,lɔhu
সাহংকার,ʃahoŋkar
রান্নাবাড়া,rannabaɽa
স্পর্শনীয়,spɔrʃoniʲo
অব্যাকুল,ɔbækul
সঙ্কেত,ʃɔŋket̪
গাঁয়ে,gaʲe
তাকাব্বুরি,t̪akabburi
নমুচি,nomuci
কাণ,kan
তরকীব,t̪ɔrokib
ধল,d̪ʰɔl
জাঁদরেলি,ɟad̪reli
উদ্‌গত,ud̪gɔt̪o
ভাণ্ডীর,bʰandir
কাজি-উল,kaɟi-ul
আলফায,alpʰaɟ
প্রতারিতা,prot̪arit̪a
বালসন্ধ্যা,balʃond̪ʰa
প্রত্যন্তপর্বত,prot̪t̪ont̪opɔrbot̪o
মওকল,mɔo̯kɔl
অসমবয়সী,ɔʃɔmobɟoroʃi
হাইল,hai̯l
ফ্যাচাং,pʰæcaŋ
সুর্খনূর,ʃurkʰonur
-দানী,-d̪ani
ছুকরি,cʰukri
সিটকানো,sitkano
নন,nɔn
বিষণ্ন,biʃɔnno
নীরসতা,nirɔʃɔt̪a
শ্রেষ্ঠতরা,sreʃtʰot̪ɔra
খাবলা,kʰabla
রাজদ্রোহী,raɟd̪rohi
বিদেহ,bid̪eho
মরত,mɔrt̪o
বাকড়,bakoɽ
ভ্রংশ,bʰroŋʃo
সরণ,ʃɔron
পারদার্য,pard̪arɟo
স্মৃতিকথা,srit̪ikɔt̪ʰa
টিকর,tikɔr
বৈদ্যশালা,boi̯d̪d̪oʃala
নিখাউকি,nikʰau̯ki
প্রতীত,prot̪it̪o
পহিল,pohil
সংস্থা,ʃɔŋst̪ʰa
শরিয়ত,ʃoriʲot̪
বিশ্ববিশ্রুত,biʃʃobisrut̪o
চলচিত্ত,cɔlcit̪t̪o
ভালুক,bʰaluk
খিলজাই,kʰilɟai̯
বাসাড়ে,baʃaɽe
রঙিলা,roŋila
হর্যশ্ব,horɟoʃʃo
অতিজীবন,ot̪iɟibɔn
উপদিষ্ট,upod̪iʃto
বালখিল্য,balkʰillo
রোমহর্ষ,romhɔrʃo
মাহুত,mahut̪
শরণি,ʃɔroni
অহিহন,ɔhihon
দিলমোহর,d̪ilmohor
একত,ækt̪o
স্থগন,st̪ʰɔgon
মতী,mot̪i
বি.এস.সি,biresisi
অব্যবস্থিতচিত্ত,ɔbæbost̪ʰit̪ocit̪t̪o
কেলানো,kelano
নিষ্পিষ্ট,niʃpiʃto
কাংস্যনিন্দিত,kaŋʃonind̪it̪o
তঁহি,t̪ohi
ভাগি,bʰagi
মহারাজ্ঞী,mɔharaggi
সেজা,ʃeɟa
র্থপরায়ণ,rt̪ʰopɔraɟon
খুরলী,kʰurli
বস্তু,bost̪u
মুগরা,mugra
খড়কিয়া,kʰɔɽkiʲa
সেলাম-সুপারিশ,selam-ʃupariʃ
আওত,ao̯t̪o
আপোসমীমাংসা,apoʃomimaŋʃa
ঐশ্বরিক,oi̯ʃʃorik
গজারোহী,gɔɟarohi
দহিছাতু,d̪ohicʰat̪u
ক্যালেণ্ডার,kælendar
প্রাণায়াম,pranaʲam
ধ্বংসিত,d̪ʰɔŋʃit̪o
সুধম্বা,ʃud̪ʰɔmba
ডর,dɔr
ল্যাপটানো,læptano
গুনগুন,gungun
মর্ম্মর,mɔrmor
দাদখাই,d̪ad̪kʰai̯
আত্মশাসন,at̪t̪oʃaʃon
অনুভূতি,onubʰut̪i
মিনেকারী,minekari
আলাপচারিতা,alapcarit̪a
দয়াবান,d̪ɔʲaban
কুরুণ্ডে,kurunde
বেশ্যালয়,beʃʃalɔʲ
চৌকা,cou̯ka
গমী,gomi
সাদিক,ʃad̪ik
